    TIME    ,     TYPE     ,     INFO
-----------------------------------------------------------------------------------------------------------------------

[TIME: 2024-02-24 | 12:47],[NEW NICKNAME],Yannick
[TIME: 2024-02-24 | 12:47],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:47],[NEW NICKNAME],Kunnak
[TIME: 2024-02-24 | 12:47],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:48],[NEW NICKNAME],xPhuc
[TIME: 2024-02-24 | 12:48],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:48],[NEW NICKNAME],TestUser
[TIME: 2024-02-24 | 12:48],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:48],[NEW NICKNAME],NickName
[TIME: 2024-02-24 | 12:48],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:48],[NEW NICKNAME],ThePope
[TIME: 2024-02-24 | 12:48],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:49],[NEW NICKNAME],BoeJiden
[TIME: 2024-02-24 | 12:49],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:49],[NEW NICKNAME],Kermit
[TIME: 2024-02-24 | 12:49],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:49],[NEW NICKNAME],LeonardoDiCaprio
[TIME: 2024-02-24 | 12:49],[BACKUP],SUCCESS
[TIME: 2024-02-24 | 12:50],[NEW NICKNAME],BestProgrammerEver
[TIME: 2024-02-24 | 12:50],[BACKUP],SUCCESS
